ext-ms-onecore-hnetcfg-l1-1-0.dll,hnetcfgclient.dll
ext-ms-onecore-ipnathlp-l1-1-0.dll,ipnathlpclient.dll
ext-ms-onecore-mpc-input-l1-1-0.dll,hologramcompositor.dll
ext-ms-onecore-orientation-l1-1-0.dll,
ext-ms-onecore-security-antitheft-l1-1-0.dll,
ext-ms-onecore-service-devicedirectory-antitheft-l1-1-0.dll,ddcantitheftapi.dll
ext-ms-onecore-service-devicedirectory-claims-l1-1-0.dll,ddcclaimsapi.dll
ext-ms-onecore-shellchromeapi-l1-1-2.dll,
ext-ms-onecore-shellremindersapi-l1-1-0.dll,
ext-ms-onecore-shlwapi-l1-1-0.dll,shlwapi.dll
ext-ms-onecore-spectrumsyncclient-l1-1-0.dll,spectrumsyncclient.dll
ext-ms-win-adsi-activeds-l1-1-0.dll,activeds.dll
ext-ms-win-advapi32-auth-l1-1-0.dll,advapi32.dll
ext-ms-win-advapi32-encryptedfile-l1-1-1.dll,advapi32.dll
ext-ms-win-advapi32-eventlog-ansi-l1-1-0.dll,advapi32.dll
ext-ms-win-advapi32-eventlog-l1-1-1.dll,advapi32.dll
ext-ms-win-advapi32-hwprof-l1-1-0.dll,advapi32.dll
ext-ms-win-advapi32-idletask-l1-1-0.dll,advapi32.dll
ext-ms-win-advapi32-lsa-l1-1-2.dll,advapi32.dll
ext-ms-win-advapi32-msi-l1-1-0.dll,advapi32.dll
ext-ms-win-advapi32-npusername-l1-1-0.dll,advapi32.dll
ext-ms-win-advapi32-ntmarta-l1-1-0.dll,advapi32.dll
ext-ms-win-advapi32-psm-app-l1-1-0.dll,twinapi.appcore.dll
ext-ms-win-advapi32-registry-l1-1-1.dll,advapi32.dll
ext-ms-win-advapi32-safer-l1-1-0.dll,advapi32.dll
ext-ms-win-advapi32-shutdown-l1-1-0.dll,advapi32.dll
ext-ms-win-appcompat-aeinv-l1-1-0.dll,aeinv.dll
ext-ms-win-appcompat-aepic-l1-1-0.dll,aepic.dll
ext-ms-win-appcompat-apphelp-l1-1-2.dll,apphelp.dll
ext-ms-win-appcompat-pcacli-l1-1-0.dll,pcacli.dll
ext-ms-win-appmodel-activation-l1-1-1.dll,activationmanager.dll
